Name,Image_link,Developer(s),Publisher(s),Producer(s),Programmer(s),Artist(s),Composer(s),Platform(s),Release,Genre(s),Mode(s),Source,Metascore,User Score,Designer(s),Writer(s),Director(s),Series,Engine
Diablo II,https://en.wikipedia.org/wiki/File:Diablo_II_Coverart.png,Blizzard North,Blizzard Entertainment,"['Mark Kern', 'Kenneth Williams']",Rick Seis,Phil Shenk,Matt Uelmen,"['Microsoft Windows', 'Classic Mac OS', 'macOS']","June 29, 2000","['Action role-playing', 'hack and slash']","['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Diablo_II,88,8.7,"['David Brevik', 'Erich Schaefer', 'Max Schaefer']","['Kurt Beaver', 'Stieg Hedlund', 'Matthew Householder', 'Phil Shenk', 'Robert Vieira']","['David Brevik', 'Erich Schaefer', 'Max Schaefer']",Diablo,
Warcraft III: Reign of Chaos,https://en.wikipedia.org/wiki/File:WarcraftIII.jpg,Blizzard Entertainment,Blizzard Entertainment,Chris Sigaty,,,"['Tracy W. Bush', 'Derek Duke', 'Glenn Stafford']","['Microsoft Windows', 'Classic Mac OS', 'Mac OS X']","July 03, 2002",Real-time strategy,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Warcraft_III:_Reign_of_Chaos,92,9.2,Rob Pardo,Chris Metzen,Frank Pearce Jr.,Warcraft,
World of Warcraft,https://en.wikipedia.org/wiki/File:World_of_Warcraft.png,Blizzard Entertainment,Blizzard Entertainment,,,,Jason Hayes,"['Microsoft Windows', 'macOS']","November 23, 2004",Massively multiplayer online role-playing,Multiplayer,https://en.wikipedia.org/wiki/World_of_Warcraft,93,7.4,"['Rob Pardo', 'Jeff Kaplan', 'Tom Chilton']",,,Warcraft,
StarCraft II: Wings of Liberty,https://en.wikipedia.org/wiki/File:StarCraft_II_-_Box_Art.jpg,Blizzard Entertainment,Blizzard Entertainment,Chris Sigaty,"['Carl Chimes', 'Bob Fitch']",Samwise Didier,"['Derek Duke', 'Glenn Stafford', 'Russell Brower', 'Neal Acree']","['Microsoft Windows', 'macOS']","July 27, 2010",Real-time strategy,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/StarCraft_II:_Wings_of_Liberty,93,8.3,Dustin Browder,"['Chris Metzen', 'Andrew Chambers', 'Brian Kindregan']",,StarCraft,
Diablo III,https://en.wikipedia.org/wiki/File:Diablo_III_cover.png,Blizzard Entertainment,Blizzard Entertainment,Alex Mayberry,Jason Regier,Christian Lichtner,Russell Brower,"['Microsoft Windows', 'OS X', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","May 15, 2012","['Action role-playing', 'hack and slash']","['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Diablo_III,88,4.1,"['Kevin Martens', 'David M. Adams']",Chris Metzen,Jay Wilson,Diablo,
Hearthstone: Heroes of Warcraft,https://en.wikipedia.org/wiki/File:Hearthstone_2016_logo.png,Blizzard Entertainment,Blizzard Entertainment,,,,Peter McConnell,"['Microsoft Windows', 'macOS', 'iOS', 'Android']","March 11, 2014",Digital collectible card game,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Hearthstone,88,5.7,"['Derek Sakamoto', 'Mike Donais']",,"['Ben Brode', 'Jason Chayes', 'Eric Dodds']",Warcraft,Unity
Heroes of the Storm,https://en.wikipedia.org/wiki/File:Heroes_of_the_Storm_BlizzHeroes_2017_logo.png,Blizzard Entertainment,Blizzard Entertainment,Kaéo Milker,,,"['Glenn Stafford', 'Jason Hayes']","['Microsoft Windows', 'macOS']","June 02, 2015",MOBA,Multiplayer,https://en.wikipedia.org/wiki/Heroes_of_the_Storm,86,6.3,,,"['Dustin Browder', 'Alan Dabiri']",,
Overwatch,https://en.wikipedia.org/wiki/File:Overwatch_cover_art.jpg,Blizzard Entertainment,Blizzard Entertainment,,"['Mike Elliott', 'John LeFleur']","['William Petras', 'Arnold Tsang']",Derek Duke,"['Microsoft Windows', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","May 24, 2016",First-person shooter,Multiplayer,https://en.wikipedia.org/wiki/Overwatch,91,6.4,"['Jeremy Craig', 'Michael Elliott', 'Scott Mercer']","['Michael Chu', 'Alyssa Wong']","['Jeff Kaplan', 'Chris Metzen', 'Aaron Keller']",,
Diablo Immortal,https://en.wikipedia.org/wiki/File:Diablo_Immortal_App_Logo.png,"['Blizzard Entertainment', 'NetEase']",Blizzard Entertainment,,,,,"['Android', 'iOS', 'Windows']","June 02, 2022","['Action role-playing', 'Massively multiplayer online']",Multiplayer,https://en.wikipedia.org/wiki/Diablo_Immortal,N/A,N/A,,,Wyatt Cheng,Diablo,
Overwatch 2,https://en.wikipedia.org/wiki/File:Overwatch_2_logo.svg,Blizzard Entertainment,Blizzard Entertainment,,,,,"['Microsoft Windows', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",,First-person shooter,Multiplayer,https://en.wikipedia.org/wiki/Overwatch_2,N/A,N/A,,,,,
Diablo IV,https://en.wikipedia.org/wiki/File:Diablo_IV_logo.jpg,Blizzard Entertainment,Blizzard Entertainment,Tiffany Wat,,John Mueller,,"['Microsoft Windows', 'PlayStation 4', 'Xbox One']",,"['Action role-playing', 'hack and slash', 'dungeon crawl']",Multiplayer,https://en.wikipedia.org/wiki/Diablo_IV,N/A,N/A,Joe Piepiora,,"['Joe Shely', 'Luis Barriga']",Diablo,
